Country,CountryCode,Year,Region,Population,BCG,DTP1,DTP3,MCV1,MCV3,OPV1,OPV3,PCV1,PCV3,,,
Angola,AGO,2017,Central Africa,1161478,75,81,68,63,1,75,65,78,65,,,
Angola,AGO,2018,Central Africa,1187470.5,88,92,79,75,31,91,78,91,77,,,
Angola,AGO,2019,Central Africa,1213917,86,82,72,76,0,82,70,83,73,,,
Angola,AGO,2020,Central Africa,1241245,81,84,72,73,47,86,72,87,76,,,
Angola,AGO,2021,Central Africa,1268807.5,73,76,62,61,38,73,60,68,55,,,
Angola,AGO,2022,Central Africa,1293487,61,63,53,55,23,61,51,43,35,,,
Angola,AGO,2024,Central Africa,1341677.5,73,75,62,61,32,60,47,73,60,,,
Benin,BEN,2018,Western Africa,435466.5,65,73,67,61,0,73,67,73,67,,,
Benin,BEN,2019,Western Africa,437281.5,69,80,76,74,0,80,76,82,78,,,
Benin,BEN,2020,Western Africa,439637.5,77,86,80,75,0,88,81,86,80,,,
Benin,BEN,2021,Western Africa,443781.5,115,131,120,112,0,126,116,129,120,,,
Benin,BEN,2022,Western Africa,449336.5,68,81,72,72,0,80,72,79,71,,,
Benin,BEN,2023,Western Africa,455242,82,101,95,89,0,81,76,101,94,,,
Benin,BEN,2024,Western Africa,460599,97,102,97,96,0,105,99,106,100,,,
Botswana,BWA,2017,Eastern and Southern Africa,56838.5,90,109,97,97,92,104,95,115,96,,,
Botswana,BWA,2018,Eastern and Southern Africa,56976.5,58,63,58,58,54,73,55,63,57,,,
Botswana,BWA,2019,Eastern and Southern Africa,57292,57,61,57,58,54,65,55,61,56,,,
Botswana,BWA,2020,Eastern and Southern Africa,58086.5,77,84,75,69,65,118,75,84,74,,,
Botswana,BWA,2021,Eastern and Southern Africa,61650.5,58,70,65,69,65,99,58,70,65,,,
Botswana,BWA,2024,Eastern and Southern Africa,59763,42,50,45,51,49,49,44,51,46,,,
Burkina Faso,BFA,2018,Western Africa,707760,87,96,92,91,75,95,91,90,90,,,
Burkina Faso,BFA,2020,Western Africa,678900.5,79,86,82,81,103,86,81,86,82,,,
Burkina Faso,BFA,2021,Western Africa,676629,81,82,77,76,65,83,77,81,51,,,
Burundi,BDI,2017,Central Africa,429895.5,70,87,83,82,66,87,83,87,83,,,
Burundi,BDI,2018,Central Africa,427335,73,89,82,79,69,89,82,89,82,,,
Burundi,BDI,2019,Central Africa,430352,75,92,88,83,67,92,88,92,88,,,
Burundi,BDI,2020,Central Africa,435497.5,74,92,89,89,79,90,87,92,89,,,
Burundi,BDI,2021,Central Africa,438708,62,76,75,74,68,77,75,77,75,,,
Burundi,BDI,2022,Central Africa,441409,56,65,66,70,67,65,66,65,66,,,
Burundi,BDI,2024,Central Africa,449549.5,69,84,82,79,0,84,82,84,81,,,
Cameroon,CMR,2017,Central Africa,856641.5,91,92,85,77,0,91,83,91,84,,,
Cameroon,CMR,2018,Central Africa,871384.5,87,85,78,70,0,83,77,84,78,,,
Cameroon,CMR,2019,Central Africa,880919.5,83,84,78,71,0,83,78,84,78,,,
Cameroon,CMR,2020,Central Africa,888226.5,83,86,79,73,26,86,79,86,80,,,
Cameroon,CMR,2021,Central Africa,895396,72,77,72,67,29,77,72,76,71,,,
Cameroon,CMR,2022,Central Africa,904469.5,80,77,73,71,31,76,71,76,71,,,
Cameroon,CMR,2024,Central Africa,928325.5,87,85,79,76,0,85,78,84,78,,,
Central African Republic,CAF,2017,Central Africa,193396,60,71,54,51,0,69,52,70,53,,,
Central African Republic,CAF,2018,Central Africa,198073.5,74,91,71,69,0,91,70,90,70,,,
Central African Republic,CAF,2019,Central Africa,199709,79,103,81,74,0,102,81,103,81,,,
Central African Republic,CAF,2020,Central Africa,204522.5,83,100,80,82,0,92,74,99,80,,,
Central African Republic,CAF,2021,Central Africa,212355.5,82,98,78,78,0,93,75,100,78,,,
Central African Republic,CAF,2022,Central Africa,207850,58,67,57,55,0,65,56,66,57,,,
Central African Republic,CAF,2024,Central Africa,230533,39,49,44,45,0,48,43,49,45,,,
Cote d'Ivoire,CIV,2018,Western Africa,927347.5,92,102,98,94,0,102,97,102,97,,,
Cote d'Ivoire,CIV,2019,Western Africa,923099.5,91,100,94,92,0,99,94,99,94,,,
Cote d'Ivoire,CIV,2020,Western Africa,928367,83,96,90,86,0,90,83,94,89,,,
Cote d'Ivoire,CIV,2021,Western Africa,935576,80,91,85,84,0,88,83,84,77,,,
Cote d'Ivoire,CIV,2022,Western Africa,943812.5,77,85,78,80,4,85,79,86,80,,,
Cote d'Ivoire,CIV,2023,Western Africa,952600.5,73,84,80,78,34,83,79,84,80,,,
Cote d'Ivoire,CIV,2024,Western Africa,962811.5,78,84,80,79,50,82,78,83,79,,,
Cote d'Ivoire,CIV,2025,Western Africa,973233,51,57,56,55,31,56,55,55,53,,,
Democratic Republic of the Congo,COD,2017,Central Africa,3506186,91,98,93,90,0,97,91,96,90,,,
Democratic Republic of the Congo,COD,2018,Central Africa,3630733.5,83,88,82,82,0,80,79,88,81,,,
Democratic Republic of the Congo,COD,2019,Central Africa,3733395.5,80,94,88,85,0,95,88,99,87,,,
Democratic Republic of the Congo,COD,2020,Central Africa,3828216.5,87,95,91,83,0,93,90,94,87,,,
Democratic Republic of the Congo,COD,2021,Central Africa,3930418,61,91,87,85,0,89,84,91,86,,,
Democratic Republic of the Congo,COD,2022,Central Africa,4036809,59,85,78,80,0,81,74,85,78,,,
Democratic Republic of the Congo,COD,2024,Central Africa,4243043,80,106,100,97,43,104,128,106,100,,,
Eritrea,ERI,2017,Eastern and Southern Africa,90187,67,68,66,67,59,67,66,68,66,,,
Eritrea,ERI,2018,Eastern and Southern Africa,90127.5,72,80,78,71,56,80,78,81,78,,,
Eritrea,ERI,2019,Eastern and Southern Africa,90871.5,70,69,67,68,58,69,67,70,67,,,
Eritrea,ERI,2020,Eastern and Southern Africa,91867.5,86,92,88,84,68,92,88,92,88,,,
Eritrea,ERI,2021,Eastern and Southern Africa,93118,77,85,84,85,73,84,84,85,84,,,
Eswatini,SWZ,2017,Eastern and Southern Africa,29771.5,70,76,73,61,50,72,69,74,71,,,
Eswatini,SWZ,2018,Eastern and Southern Africa,29782.5,85,106,99,89,100,100,94,104,99,,,
Eswatini,SWZ,2019,Eastern and Southern Africa,29504.5,93,95,90,82,78,95,88,93,86,,,
Eswatini,SWZ,2020,Eastern and Southern Africa,29280.5,86,86,82,73,67,96,81,85,82,,,
Eswatini,SWZ,2021,Eastern and Southern Africa,29129,78,77,70,68,62,67,54,69,59,,,
Eswatini,SWZ,2024,Eastern and Southern Africa,28442,70,79,89,67,69,44,48,46,41,,,
Ethiopia,ETH,2017,Eastern and Southern Africa,3478106.5,82,90,87,86,0,91,86,87,90,,,
Ethiopia,ETH,2020,Eastern and Southern Africa,3799893.5,36,44,41,39,29,44,41,44,41,,,
Ethiopia,ETH,2021,Eastern and Southern Africa,3867781.5,42,46,43,40,33,46,43,46,43,,,
Gambia,GMB,2018,Western Africa,75553,12,11,11,11,10,11,11,11,11,,,
Gambia,GMB,2019,Western Africa,75656.5,35,38,36,36,29,38,36,38,35,,,
Gambia,GMB,2023,Western Africa,79438.5,80,92,93,88,72,93,95,92,88,,,
Gambia,GMB,2024,Western Africa,80105.5,65,70,73,71,61,69,72,70,72,,,
Gambia,GMB,2025,Western Africa,80355,74,86,73,52,59,86,73,86,73,,,
Ghana,GHA,2018,Western Africa,842047.5,96,99,100,95,85,100,100,100,100,,,
Ghana,GHA,2019,Western Africa,844510.5,86,87,88,85,70,87,88,87,89,,,
Ghana,GHA,2020,Western Africa,847741.5,89,91,92,87,80,90,90,91,92,,,
Ghana,GHA,2021,Western Africa,852001,95,97,99,92,88,97,99,97,99,,,
Ghana,GHA,2022,Western Africa,855949,88,99,93,93,78,89,92,88,92,,,
Ghana,GHA,2024,Western Africa,867026.5,91,82,87,84,81,83,87,82,86,,,
Ghana,GHA,2025,Western Africa,871655,85,87,96,93,88,84,92,86,95,,,
Guinea-Bissau,GNB,2018,Western Africa,59380.5,89,92,83,78,0,93,82,92,82,,,
Guinea-Bissau,GNB,2023,Western Africa,61864.5,78,77,71,66,33,69,64,77,71,,,
Guinea-Bissau,GNB,2024,Western Africa,62361,72,74,72,70,54,74,72,74,73,,,
Guinea-Bissau,GNB,2025,Western Africa,62775,75,75,67,72,48,75,67,75,67,,,
Kenya,KEN,2018,Eastern and Southern Africa,1411726,1,1,1,1,1,1,1,1,1,,,
Kenya,KEN,2023,Eastern and Southern Africa,1452999.5,7,8,8,7,6,7,7,8,7,,,
Kenya,KEN,2024,Eastern and Southern Africa,1472432,11,12,14,14,10,14,11,14,14,,,
Lesotho,LSO,2017,Eastern and Southern Africa,58384,55,64,64,56,46,60,59,61,61,,,
Lesotho,LSO,2018,Eastern and Southern Africa,57505.5,86,85,83,61,47,85,83,85,83,,,
Lesotho,LSO,2019,Eastern and Southern Africa,56333.5,63,62,61,66,51,62,61,62,62,,,
Lesotho,LSO,2020,Eastern and Southern Africa,55204.5,85,96,95,86,65,91,89,96,95,,,
Lesotho,LSO,2021,Eastern and Southern Africa,54245,85,102,101,90,67,98,98,101,101,,,
Lesotho,LSO,2023,Eastern and Southern Africa,53261,53,73,73,62,60,70,71,72,73,,,
Lesotho,LSO,2024,Eastern and Southern Africa,53185,76,84,90,98,80,83,89,84,90,,,
Liberia,LBR,2018,Western Africa,154485.5,90,102,95,88,0,102,95,100,94,,,
Liberia,LBR,2019,Western Africa,155453,79,89,83,81,0,89,82,89,82,,,
Liberia,LBR,2022,Western Africa,159306.5,22,88,81,85,40,68,63,87,81,,,
Liberia,LBR,2024,Western Africa,163512,78,84,78,73,39,84,76,84,78,,,
Liberia,LBR,2025,Western Africa,165138.5,88,91,86,87,71,90,85,91,86,,,
Madagascar,MDG,2017,Eastern and Southern Africa,855538,91,97,91,83,0,92,86,96,90,,,
Madagascar,MDG,2018,Eastern and Southern Africa,878615,91,97,91,85,0,96,91,96,91,,,
Madagascar,MDG,2019,Eastern and Southern Africa,901789,94,101,96,92,0,101,95,101,95,,,
Madagascar,MDG,2020,Eastern and Southern Africa,920689,89,99,92,86,2,99,91,99,91,,,
Madagascar,MDG,2021,Eastern and Southern Africa,934757,68,89,82,76,25,87,80,90,82,,,
Madagascar,MDG,2023,Eastern and Southern Africa,958400.5,58,64,60,54,27,62,58,64,59,,,
Madagascar,MDG,2024,Eastern and Southern Africa,970501,80,84,76,71,37,87,78,87,79,,,
Malawi,MWI,2017,Eastern and Southern Africa,585062,83,87,82,78,1,86,82,87,82,,,
Malawi,MWI,2018,Eastern and Southern Africa,592934.5,67,70,67,64,1,70,66,70,67,,,
Malawi,MWI,2019,Eastern and Southern Africa,602542,82,87,85,82,70,87,84,87,85,,,
Malawi,MWI,2020,Eastern and Southern Africa,612897.5,82,90,88,84,70,88,87,89,88,,,
Malawi,MWI,2021,Eastern and Southern Africa,621709,64,69,67,65,55,66,65,69,67,,,
Malawi,MWI,2024,Eastern and Southern Africa,651569.5,115,123,117,114,84,123,115,122,117,,,
Mali,MLI,2018,Western Africa,819901.5,90,91,76,78,0,89,75,90,76,,,
Mali,MLI,2019,Western Africa,823430,113,114,97,97,0,112,95,114,97,,,
Mali,MLI,2020,Western Africa,833401,68,71,61,58,19,68,58,71,61,,,
Mali,MLI,2021,Western Africa,855630.5,40,45,41,36,13,44,39,20,40,,,
Mali,MLI,2022,Western Africa,875964,49,47,43,41,18,44,41,47,45,,,
Mali,MLI,2023,Western Africa,895715,40,46,42,40,19,45,40,46,42,,,
Mali,MLI,2024,Western Africa,913703,112,113,102,64,32,105,93,112,101,,,
Mauritania,MRT,2018,Western Africa,152631,78,78,68,63,0,77,67,77,68,,,
Mauritania,MRT,2019,Western Africa,155558.5,94,91,82,79,0,90,78,92,81,,,
Mauritania,MRT,2020,Western Africa,158372.5,92,91,80,81,0,90,80,90,81,,,
Mauritania,MRT,2021,Western Africa,161203,88,87,77,75,0,88,76,87,76,,,
Mauritania,MRT,2022,Western Africa,164030.5,66,64,61,51,0,60,56,65,61,,,
Mauritania,MRT,2023,Western Africa,166881,75,72,65,66,18,72,65,72,65,,,
Mauritania,MRT,2024,Western Africa,169897.5,88,87,82,87,58,87,81,87,82,,,
Mauritania,MRT,2025,Western Africa,172890.5,90,96,90,75,36,97,89,96,89,,,
Mauritius,MUS,2017,Eastern and Southern Africa,12775,86,86,84,82,0,87,85,88,77,,,
Mauritius,MUS,2018,Eastern and Southern Africa,12528,79,80,80,96,0,80,81,80,74,,,
Mauritius,MUS,2019,Eastern and Southern Africa,12382.5,82,85,83,92,123,85,84,85,84,,,
Mauritius,MUS,2020,Eastern and Southern Africa,12358,85,87,87,86,90,87,87,89,77,,,
Mauritius,MUS,2021,Eastern and Southern Africa,12458,59,60,62,54,43,62,62,63,62,,,
Mozambique,MOZ,2017,Eastern and Southern Africa,1058208.5,98,103,95,97,56,95,84,102,93,,,
Mozambique,MOZ,2018,Eastern and Southern Africa,1082568.5,87,86,81,80,53,86,80,79,73,,,
Mozambique,MOZ,2019,Eastern and Southern Africa,1107028.5,129,125,117,115,82,123,114,124,111,,,
Mozambique,MOZ,2020,Eastern and Southern Africa,1131029,124,120,111,112,83,115,103,120,84,,,
Mozambique,MOZ,2021,Eastern and Southern Africa,1155534,128,101,90,112,85,108,94,113,99,,,
Namibia,NAM,2017,Eastern and Southern Africa,74818,87,89,82,74,0,83,78,68,62,,,
Namibia,NAM,2020,Eastern and Southern Africa,82204.5,98,88,80,72,56,86,79,75,68,,,
Niger,NER,2018,Western Africa,923063,73,70,67,66,43,70,67,70,66,,,
Niger,NER,2019,Western Africa,937210,85,100,95,94,0,100,95,100,95,,,
Niger,NER,2020,Western Africa,951804.5,85,78,74,74,52,78,74,78,74,,,
Niger,NER,2021,Western Africa,967559,88,81,76,77,56,81,76,81,76,,,
Niger,NER,2022,Western Africa,992922,80,74,69,64,47,72,67,72,66,,,
Niger,NER,2023,Western Africa,1025915,80,73,69,68,50,73,69,73,69,,,
Niger,NER,2024,Western Africa,1053493,78,71,68,67,52,71,68,71,68,,,
Niger,NER,2025,Western Africa,1074297,71,66,63,61,47,66,63,66,63,,,
Nigeria,NGA,2018,Western Africa,6914961,90,103,95,87,0,103,95,102,94,,,
Nigeria,NGA,2019,Western Africa,6879991.5,81,94,87,81,0,94,87,94,87,,,
Nigeria,NGA,2020,Western Africa,6840996.5,74,85,80,74,0,85,79,85,79,,,
Nigeria,NGA,2021,Western Africa,6877897.5,71,80,75,68,28,81,76,80,75,,,
Nigeria,NGA,2022,Western Africa,6973345,63,71,65,60,26,70,65,69,64,,,
Nigeria,NGA,2023,Western Africa,7065325,76,84,79,70,39,85,80,83,44,,,
Nigeria,NGA,2024,Western Africa,7143725.5,80,90,85,78,51,90,85,93,49,,,
Nigeria,NGA,2025,Western Africa,7209669.5,62,69,65,61,41,71,67,68,40,,,
Republic of Congo,COG,2017,Central Africa,172953.5,76,75,69,70,2,75,69,72,66,,,
Republic of Congo,COG,2018,Central Africa,173962,79,77,73,73,0,77,72,77,71,,,
Republic of Congo,COG,2019,Central Africa,174976,80,82,78,73,0,81,77,72,67,,,
Republic of Congo,COG,2020,Central Africa,176525.5,68,73,70,65,26,73,69,72,68,,,
Republic of Congo,COG,2021,Central Africa,178793,77,78,74,65,29,76,72,76,71,,,
Republic of Congo,COG,2022,Central Africa,180924,65,66,63,37,18,48,45,67,63,,,
Republic of Congo,COG,2024,Central Africa,186310.5,85,89,83,78,0,89,82,88,82,,,
Rwanda,RWA,2017,Eastern and Southern Africa,369777.5,101,103,102,104,0,102,101,103,101,,,
Rwanda,RWA,2018,Eastern and Southern Africa,373607.5,97,98,97,96,0,98,97,98,96,,,
Rwanda,RWA,2019,Eastern and Southern Africa,376798,128,99,98,96,0,99,98,99,97,,,
Rwanda,RWA,2020,Eastern and Southern Africa,379616.5,89,91,91,94,91,91,91,91,91,,,
Rwanda,RWA,2021,Eastern and Southern Africa,381333,88,89,87,85,84,89,87,89,87,,,
Sao Tome and Principe,STP,2017,Central Africa,6209.5,92,94,86,84,71,94,89,94,86,,,
Sao Tome and Principe,STP,2018,Central Africa,6123.5,89,93,91,84,72,93,92,93,92,,,
Sao Tome and Principe,STP,2019,Central Africa,6087.5,95,97,95,95,95,97,95,97,95,,,
Sao Tome and Principe,STP,2020,Central Africa,6116,82,87,85,80,65,89,86,88,83,,,
Sao Tome and Principe,STP,2021,Central Africa,6186.5,92,98,97,78,69,98,96,98,97,,,
Sao Tome and Principe,STP,2022,Central Africa,6270,72,79,83,103,70,79,83,79,83,,,
Sao Tome and Principe,STP,2024,Central Africa,6485,59,63,67,69,4,63,69,63,67,,,
Senegal,SEN,2018,Western Africa,494106.5,68,68,67,68,52,68,67,68,39,,,
Senegal,SEN,2019,Western Africa,495667,103,106,100,96,77,106,100,106,100,,,
Senegal,SEN,2020,Western Africa,497303,84,84,80,79,65,83,80,84,81,,,
Senegal,SEN,2021,Western Africa,498898,73,73,71,74,66,73,71,73,71,,,
Senegal,SEN,2022,Western Africa,502873.5,62,65,66,52,50,65,65,65,66,,,
Senegal,SEN,2023,Western Africa,513261,19,15,17,16,14,18,17,18,17,,,
Senegal,SEN,2024,Western Africa,524541,17,16,17,17,17,17,17,17,17,,,
Senegal,SEN,2025,Western Africa,532607,71,75,74,57,59,75,73,75,74,,,
Seychelles,SYC,2018,Eastern and Southern Africa,1729,48,99,98,93,0,99,98,34,16,,,
Seychelles,SYC,2019,Eastern and Southern Africa,1736,185,100,100,104,0,101,100,97,90,,,
Seychelles,SYC,2020,Eastern and Southern Africa,1743,65,76,75,77,0,77,75,75,79,,,
Sierra Leone,SLE,2017,Western Africa,232838,78,94,88,82,0,94,89,93,87,,,
Sierra Leone,SLE,2019,Western Africa,238199,63,75,75,72,0,75,75,76,75,,,
Sierra Leone,SLE,2020,Western Africa,240074,57,74,73,71,52,129,67,74,68,,,
Sierra Leone,SLE,2024,Western Africa,246450,71,88,86,88,89,87,85,87,85,,,
South Africa,ZAF,2023,Eastern and Southern Africa,1161442.5,78,80,78,79,83,73,0,77,84,,,
South Africa,ZAF,2024,Eastern and Southern Africa,1161973,75,76,73,76,85,72,0,76,84,,,
Togo,TGO,2018,Western Africa,263801.5,64,72,69,67,0,59,52,72,69,,,
Togo,TGO,2019,Western Africa,266615,74,82,79,78,61,79,75,82,79,,,
Togo,TGO,2020,Western Africa,269480.5,72,80,78,73,54,80,77,80,77,,,
Togo,TGO,2021,Western Africa,272436.5,61,66,64,60,46,66,64,66,64,,,
Togo,TGO,2022,Western Africa,275224,64,69,67,66,51,69,66,69,66,,,
Togo,TGO,2023,Western Africa,278127,66,82,79,72,65,80,77,82,79,,,
Togo,TGO,2024,Western Africa,281039.5,78,92,89,86,77,84,81,91,89,,,
Togo,TGO,2025,Western Africa,284070,56,67,69,67,57,55,54,67,69,,,
Uganda,UGA,2017,Eastern and Southern Africa,1460160.5,85,102,94,83,0,100,90,99,90,,,
Uganda,UGA,2018,Eastern and Southern Africa,1500546,86,98,91,84,0,94,85,97,89,,,
Uganda,UGA,2019,Eastern and Southern Africa,1539004,88,103,93,87,0,103,92,100,92,,,
Uganda,UGA,2020,Eastern and Southern Africa,1574545,84,95,90,87,0,96,89,95,90,,,
Uganda,UGA,2021,Eastern and Southern Africa,1608755.5,82,96,90,89,0,96,90,96,90,,,
Uganda,UGA,2023,Eastern and Southern Africa,1658195,75,89,86,85,21,87,84,89,86,,,
Uganda,UGA,2024,Eastern and Southern Africa,1673195.5,81,96,94,90,36,95,92,95,93,,,
United Republic of Tanzania,TZA,2017,Eastern and Southern Africa,1996948.5,123,99,93,95,0,97,90,100,93,,,
United Republic of Tanzania,TZA,2018,Eastern and Southern Africa,2055564.5,121,103,97,99,79,98,90,104,97,,,
United Republic of Tanzania,TZA,2019,Eastern and Southern Africa,2100039.5,119,107,103,102,87,106,99,107,95,,,
United Republic of Tanzania,TZA,2020,Eastern and Southern Africa,2139855,120,107,102,100,81,83,74,106,94,,,
United Republic of Tanzania,TZA,2021,Eastern and Southern Africa,2181313.5,106,100,96,91,75,86,79,99,93,,,
Zambia,ZMB,2017,Eastern and Southern Africa,600938,82,83,78,80,53,83,76,83,78,,,
Zambia,ZMB,2018,Eastern and Southern Africa,610024,87,90,86,90,61,72,86,91,86,,,
Zambia,ZMB,2019,Eastern and Southern Africa,620684.5,82,84,78,85,60,83,77,85,80,,,
Zambia,ZMB,2020,Eastern and Southern Africa,629949.5,80,84,81,92,95,84,79,85,81,,,
Zambia,ZMB,2021,Eastern and Southern Africa,638598.5,95,94,87,90,62,93,86,94,89,,,
Zimbabwe,ZWE,2019,Eastern and Southern Africa,456759.5,102,92,87,84,75,93,87,92,87,,,
Zimbabwe,ZWE,2020,Eastern and Southern Africa,462237.5,81,85,80,78,69,86,80,85,79,,,
Zimbabwe,ZWE,2021,Eastern and Southern Africa,469293,80,86,80,72,63,86,79,85,73,,,
Zimbabwe,ZWE,2023,Eastern and Southern Africa,480881.5,73,80,78,76,69,79,76,81,78,,,
